Attribute,Type
pid,pid
label,label
autores,text
_resena,text
_resenado,text
keyword,text
editores,text
grupo,text
fecha,text
ciudad,text
pais,text
conseguido,text
tipo_principal,text
nota,text
medio_impresion,text
intervencion_manual,text
portada_color,text
portada_especial,text
internas_color,text
papel_portada_color,text
compaginado,text
_nota_archivo,text
latlong,latlong
